,name,price,url,brand,product_type,website
0,Miele køleskab K7733E indbygget | Elgiganten,55.9,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/koleskab/miele-koleskab-k7733e-indbygget/321212,Miele,Køleskab,Elgiganten
1,Samsung køleskab RR39C7AF5WW/EF | Elgiganten,4999.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/koleskab/samsung-koleskab-rr39c7af5wwef/613859,Samsung,Køleskab,Elgiganten
2,Miele køle-/fryseskab kombination KFN4797DD (rustfri stål) | Elgiganten,9444.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/kolefryseskab/miele-kole-fryseskab-kombination-kfn4797dd-rustfri-stal/510707,Miele,Kølefryseskab,Elgiganten
3,Bosch Køleskab KIR81SOE0 | Elgiganten,9799.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/koleskab/bosch-koleskab-kir81soe0/617378,Bosch,Køleskab,Elgiganten
4,BOSCH KIN86VSE0 Fridge/freezer | Elgiganten,7081.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/kolefryseskab/bosch-kin86vse0-fridgefreezer/368760,Bosch,Kølefryseskab,Elgiganten
5,Hisense side-by-side RS711N4ACE | Elgiganten,5799.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/amerikanerkoleskab/hisense-side-by-side-rs711n4ace/630146,Hisense,Amerikanerkøleskab,Elgiganten
6,Logik kølefryseskab LNF186W23E | Elgiganten,3499.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/kolefryseskab/logik-kolefryseskab-lnf186w23e/591905,Logik,Kølefryseskab,Elgiganten
7,Samsung fryser RZ32C7AEEWW/EF | Elgiganten,4999.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/skabsfryser/samsung-fryser-rz32c7aeewwef/613880,Samsung,Skabsfryser,Elgiganten
8,Samsung køle-/fryseskab RB33B610ESA/EF | Elgiganten,3499.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/kolefryseskab/samsung-kole-fryseskab-rb33b610esaef/485476,Samsung,Kølefryseskab,Elgiganten
9,Samsung fryser RZ32C7AEEB1/EF | Elgiganten,4999.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/skabsfryser/samsung-fryser-rz32c7aeeb1ef/613862,Samsung,Skabsfryser,Elgiganten
10,LG køle-/fryseskab GBM21HSADH | Elgiganten,3999.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/kolefryseskab/lg-kole-fryseskab-gbm21hsadh/672033,LG,Kølefryseskab,Elgiganten
11,Bosch indbygget køleskab KIF81HOD0 | Elgiganten,12599.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/koleskab/bosch-indbygget-koleskab-kif81hod0/617377,Bosch,Køleskab,Elgiganten
12,Epoq kølefryseskab EBF185DI23D | Elgiganten,5999.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/kolefryseskab/epoq-kolefryseskab-ebf185di23d/626815,Epoq,Kølefryseskab,Elgiganten
13,Epoq kølefryseskab EBF200DI23D | Elgiganten,6499.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/kolefryseskab/epoq-kolefryseskab-ebf200di23d/626816,Epoq,Kølefryseskab,Elgiganten
14,Miele køle-/fryseskab kombination KFN4395DD (hvid) | Elgiganten,6666.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/kolefryseskab/miele-kole-fryseskab-kombination-kfn4395dd-hvid/539102,Miele,Kølefryseskab,Elgiganten
15,Best Matic drikkevarekøler TBT-127183.1 | Elgiganten,3999.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/minikoleskab/best-matic-drikkevarekoler-tbt-1271831/617347,Emerio,Minikøleskab,Elgiganten
16,Indesit køleskab/fryser LI7S1EW (hvid) | Elgiganten,2777.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/kolefryseskab/indesit-koleskabfryser-li7s1ew-hvid/297621,Indesit,Kølefryseskab,Elgiganten
17,Miele køle-/fryseskab kombination KFN4395DD (rustfri stål) | Elgiganten,6999.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/kolefryseskab/miele-kole-fryseskab-kombination-kfn4395dd-rustfri-stal/539100,Miele,Kølefryseskab,Elgiganten
18,Bosch Køl/frys kombination KIV87SFE0 (Ikke) | Elgiganten,6335.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/kolefryseskab/bosch-kolfrys-kombination-kiv87sfe0-ikke/306152,Bosch,Kølefryseskab,Elgiganten
19,Whirlpool minikøleskab ADN140B | Elgiganten,4999.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/minikoleskab/whirlpool-minikoleskab-adn140b/353626,Whirlpool,Minikøleskab,Elgiganten
20,Logik fryser LTTF33W23E | Elgiganten,888.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/skabsfryser/logik-fryser-lttf33w23e/633645,Logik,Skabsfryser,Elgiganten
21,LG køle-/fryseskab GBM22HSADH | Elgiganten,4299.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/kolefryseskab/lg-kole-fryseskab-gbm22hsadh/672032,LG,Kølefryseskab,Elgiganten
22,Best Matic minikøleskab SDR-126618.4 | Elgiganten,1999.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/minikoleskab/best-matic-minikoleskab-sdr-1266184/481441,BestMatic,Minikøleskab,Elgiganten
23,Logik køleskab LUL48W23E | Elgiganten,949.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/koleskab/logik-koleskab-lul48w23e/633639,Logik,Køleskab,Elgiganten
24,Bosch Serie 6 fryseskab GSN58AWEV (70 cm bred) | Elgiganten,6499.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/skabsfryser/bosch-serie-6-fryseskab-gsn58awev-70-cm-bred/140139,Bosch,Skabsfryser,Elgiganten
25,Bosch køle-/fryseskab kombination KGN49VXCT (sort inox) | Elgiganten,7999.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/kolefryseskab/bosch-kole-fryseskab-kombination-kgn49vxct-sort-inox/522088,Bosch,Kølefryseskab,Elgiganten
26,Logik køle-/fryseskab LDD143W23E | Elgiganten,1888.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/kolefryseskab/logik-kole-fryseskab-ldd143w23e/633640,Logik,Kølefryseskab,Elgiganten
27,Logik kummefryser LCF95W23E | Elgiganten,999.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/kummefryser/logik-kummefryser-lcf95w23e/633644,Logik,Kummefryser,Elgiganten
28,Samsung kølefryseskab RB38C705DS9/EF | Elgiganten,6499.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/kolefryseskab/samsung-kolefryseskab-rb38c705ds9ef/613869,Samsung,Kølefryseskab,Elgiganten
29,Samsung køleskab RR39C7AF5B1/EF | Elgiganten,4999.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/koleskab/samsung-koleskab-rr39c7af5b1ef/613870,Samsung,Køleskab,Elgiganten
30,Temptech køleskab VINT1400RED | Elgiganten,1999.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/minikoleskab/temptech-koleskab-vint1400red/355461,Temptech,Minikøleskab,Elgiganten
31,Best Matic drikkevarekøler TBT-127183 | Elgiganten,3999.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/minikoleskab/best-matic-drikkevarekoler-tbt-127183/617348,Emerio,Minikøleskab,Elgiganten
32,Samsung side-by-side-kølefryseskab RH68B8841S9/EF | Elgiganten,10999.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/amerikanerkoleskab/samsung-side-by-side-kolefryseskab-rh68b8841s9ef/459779,Samsung,Amerikanerkøleskab,Elgiganten
33,Bosch køleskab KIF81HDD0 indbygget | Elgiganten,10949.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/koleskab/bosch-koleskab-kif81hdd0-indbygget/204776,Bosch,Køleskab,Elgiganten
34,Beko køleskab RSSE445M25WN | Elgiganten,2799.-,https://www.elgiganten.dk/product/hvidevarer/koleskabe-fryseskabe/koleskab/beko-koleskab-rsse445m25wn/202511,Beko,Køleskab,Elgiganten
