,name,price,url,brand,product_type,website
0,Scandomestic SKS 136 W,"2299,00",https://elsalg.dk/webshop/scandomestic-sks-136-w,Scandomestic,Fritstående køleskab,Elsalg
1,Gram KS 1135-90/1,"2399,00",https://elsalg.dk/webshop/gram-ks-1135-90-1,GRAM,Fritstående køleskab,Elsalg
2,Elvita CWC2080S,"2495,00",https://elsalg.dk/webshop/elvita-cwc2080s,Elvita,Fritståene vinkøleskab,Elsalg
3,Vestfrost EW 5150 R-2 MED 4 ÅRS GARANTI,"2499,00",https://elsalg.dk/webshop/vestfrost-ew-5150-r-2-med-4-aars-garanti,Vestfrost,Fritstående køleskab,Elsalg
4,Elvita CKS2852V MED 4 ÅRS GARANTI,"2499,00",https://elsalg.dk/webshop/elvita-cks2852v-med-4-aars-garanti,Elvita,Fritstående køleskab,Elsalg
5,Scandomestic SKS 192 W,"2523,00",https://elsalg.dk/webshop/scandomestic-sks-192-w,Scandomestic,Fritstående køleskab,Elsalg
6,Scandomestic SKS 262 W,"2529,00",https://elsalg.dk/webshop/scandomestic-sks-262-w,Scandomestic,Fritstående køleskab,Elsalg
7,Elvita CKF2145V,"2695,00",https://elsalg.dk/webshop/elvita-ckf2145v,Elvita,Fritstående køleskab,Elsalg
8,Scandomestic SKS 201 W,"2999,00",https://elsalg.dk/webshop/scandomestic-sks-201-w,Scandomestic,Fritstående køleskab,Elsalg
9,Vestfrost EW 5250 R-2 MED 4 ÅRS GARANTI,"2999,00",https://elsalg.dk/webshop/vestfrost-ew-5250-r-2-med-4-aars-garanti,Vestfrost,Fritstående køleskab,Elsalg
10,Scandomestic SV 45 B,"3189,00",https://elsalg.dk/webshop/scandomestic-sv-45-b,Scandomestic,Fritstående vinkøleskab,Elsalg
11,Elvita CKS2852X,"3295,00",https://elsalg.dk/webshop/elvita-cks2852x,Elvita,Fritstående køleskab,Elsalg
12,Scandomestic SKS 346 W,"3599,00",https://elsalg.dk/webshop/scandomestic-sks-346-w,Scandomestic,Fritstående køleskab,Elsalg
