,name,price,url,brand,product_type,website
0,Blomberg SSM1410N ,7249,hvidevarer/koeleskab/fritstaaende-koeleskab/product/blomberg-ssm1410n/,Blomberg,Fritstående køleskabe,Whiteaway
1,Vestfrost WV146K ,2499,hvidevarer/koeleskab/fritstaaende-koeleskab/product/vestfrost-wv146k/,Vestfrost,Fritstående køleskabe,Whiteaway
2,LG GLT71MCCSZ ,9499,hvidevarer/koeleskab/fritstaaende-koeleskab/product/lg-glt71mccsz/,LG,Fritstående køleskabe,Whiteaway
3,Scandomestic WKS92W ,1444,hvidevarer/koeleskab/fritstaaende-koeleskab/product/scandomestic-wks92w/,Scandomestic,Fritstående køleskabe,Whiteaway
4,Whirlpool SW8AM2DWHR ,5999,hvidevarer/koeleskab/fritstaaende-koeleskab/product/whirlpool-sw8-am2-d-whr/,Whirlpool,Fritstående køleskabe,Whiteaway
5,Electrolux LRB1AF20W ,2699,hvidevarer/koeleskab/fritstaaende-koeleskab/product/electrolux-lrb1af20w/,Electrolux,Fritstående køleskabe,Whiteaway
6,Siemens KS36VVWEP IQ300 ,7999,hvidevarer/koeleskab/fritstaaende-koeleskab/product/siemens-ks36vvwep/,Siemens,Fritstående køleskabe,Whiteaway
7,AEG RKB524F1AW ,3499,hvidevarer/koeleskab/fritstaaende-koeleskab/product/aeg-rkb524f1aw/,AEG,Fritstående køleskabe,Whiteaway
8,frigor KS251ES ,4195,hvidevarer/koeleskab/fritstaaende-koeleskab/product/frigor-ks251es/,frigor,Fritstående køleskabe,Whiteaway
9,Electrolux LXB1AE13W0 ,2140,hvidevarer/koeleskab/fritstaaende-koeleskab/product/electrolux-lxb1ae13w0/,Electrolux,Fritstående køleskabe,Whiteaway
10,Blomberg SND9685N ,8899,hvidevarer/koeleskab/fritstaaende-koeleskab/product/blomberg-snd9685n/,Blomberg,Fritstående køleskabe,Whiteaway
11,Liebherr TP 1760-23 001 ,5199,hvidevarer/koeleskab/fritstaaende-koeleskab/product/liebherr-tp-1760-23-001/,Liebherr,Fritstående køleskabe,Whiteaway
12,Siemens KS36VVWEP + GS36NVWFV ,9999,hvidevarer/koeleskab/fritstaaende-koeleskab/product/siemens-ks36vvwep-gs36nvwfv/,Siemens,Fritstående køleskabe,Whiteaway
13,Gram KS3315-931 ,4499,hvidevarer/koeleskab/fritstaaende-koeleskab/product/gram-gram-ks3315-931/,Gram,Fritstående køleskabe,Whiteaway
14,Blomberg SSM4450N ,5299,hvidevarer/koeleskab/fritstaaende-koeleskab/product/blomberg-ssm4450n/,Blomberg,Fritstående køleskabe,Whiteaway
15,Siemens KS36VFIEV IQ300 ,7999,hvidevarer/koeleskab/fritstaaende-koeleskab/product/siemens-ks36vfiev/,Siemens,Fritstående køleskabe,Whiteaway
16,Bauknecht KR19G4IN2 ,8295,hvidevarer/koeleskab/fritstaaende-koeleskab/product/bauknecht-kr19g4in2/,Bauknecht,Fritstående køleskabe,Whiteaway
17,Vestfrost WV124K ,2499,hvidevarer/koeleskab/fritstaaende-koeleskab/product/vestfrost-wv124k/,Vestfrost,Fritstående køleskabe,Whiteaway
18,Gorenje RB492PW ,2499,hvidevarer/koeleskab/fritstaaende-koeleskab/product/gorenje-rb492pw/,Gorenje,Fritstående køleskabe,Whiteaway
19,Electrolux LRB2DE33W ,3758,hvidevarer/koeleskab/fritstaaende-koeleskab/product/electrolux-electrolux-lrb2de33/,Electrolux,Fritstående køleskabe,Whiteaway
20,Gorenje R619EABK6 ,7999,hvidevarer/fryser/fryseskab/product/gorenje-r619eabk6/,Gorenje,Fritstående køleskabe,Whiteaway
21,Candy CCTLS542WHN ,1699,hvidevarer/koeleskab/fritstaaende-koeleskab/product/candy-cctls542whn/,Candy,Fritstående køleskabe,Whiteaway
22,frigor KS251EW ,3995,hvidevarer/koeleskab/fritstaaende-koeleskab/product/frigor-ks251ew/,frigor,Fritstående køleskabe,Whiteaway
23,Blomberg SND9685XN ,9999,hvidevarer/koeleskab/fritstaaende-koeleskab/product/blomberg-snd9685xn/,Blomberg,Fritstående køleskabe,Whiteaway
24,Scandomestic High Cube ,3329,hvidevarer/koeleskab/fritstaaende-koeleskab/product/scandomestic-high-cube/,Scandomestic,Fritstående køleskabe,Whiteaway
25,Liebherr CU3331-26057 ,8749,hvidevarer/koeleskab/fritstaaende-koeleskab/product/liebherr-cu3331-26057/,Liebherr,Fritstående køleskabe,Whiteaway
26,Miele KS4383EDEL ,7414,hvidevarer/koeleskab/fritstaaende-koeleskab/product/miele-ks4383edel/,Miele,Fritstående køleskabe,Whiteaway
27,Siemens KS36VAIDP IQ500,10996,hvidevarer/koeleskab/fritstaaende-koeleskab/product/siemens-ks36vaidp/,Siemens,Fritstående køleskabe,Whiteaway
28,Scandomestic Cool Cube ,1299,hvidevarer/koeleskab/fritstaaende-koeleskab/product/scandomestic-cool-cube/,Scandomestic,Fritstående køleskabe,Whiteaway
29,Electrolux LRS2DE39X ,6499,hvidevarer/koeleskab/fritstaaende-koeleskab/product/electrolux-lrs2de39x/,Electrolux,Fritstående køleskabe,Whiteaway
30,Whirlpool SW8AM1QX1 ,5999,hvidevarer/koeleskab/fritstaaende-koeleskab/product/whirlpool-sw8am1qx1/,Whirlpool,Fritstående køleskabe,Whiteaway
31,Blomberg SSM4460XN ,6249,hvidevarer/koeleskab/fritstaaende-koeleskab/product/blomberg-ssm4460xn/,Blomberg,Fritstående køleskabe,Whiteaway
32,LG GLE71PZCSZ ,5499,hvidevarer/koeleskab/fritstaaende-koeleskab/product/lg-gle71pzcsz/,LG,Fritstående køleskabe,Whiteaway
33,Electrolux LRS1DF39W ,3999,hvidevarer/koeleskab/fritstaaende-koeleskab/product/electrolux-lrs1df39w/,Electrolux,Fritstående køleskabe,Whiteaway
34,Bosch KSV36VLDP Serie 4,5499,hvidevarer/koeleskab/fritstaaende-koeleskab/product/bosch-ksv36vldp/,Bosch,Fritstående køleskabe,Whiteaway
35,Liebherr RBSFE5220 ,14499,hvidevarer/koeleskab/fritstaaende-koeleskab/product/liebherr-rbsfe5220/,Liebherr,Fritstående køleskabe,Whiteaway
36,Samsung RR39C7AJ5WW ,10999,hvidevarer/koeleskab/fritstaaende-koeleskab/product/samsung-rr39c7aj5ww/,Samsung,Fritstående køleskabe,Whiteaway
37,frigor KS121ES ,3095,hvidevarer/koeleskab/fritstaaende-koeleskab/product/frigor-ks121es/,frigor,Fritstående køleskabe,Whiteaway
38,Electrolux LRT6ME38W1 ,8499,hvidevarer/koeleskab/fritstaaende-koeleskab/product/electrolux-lrt6me38w1/,Electrolux,Fritstående køleskabe,Whiteaway
39,Gram GRAM KS 481864 FN/1 ,4499,hvidevarer/koeleskab/fritstaaende-koeleskab/product/gram-gram-ks-481864-fn-1/,Gram,Fritstående køleskabe,Whiteaway
40,Samsung RR39C7AJ5B1 ,4999,hvidevarer/koeleskab/fritstaaende-koeleskab/product/samsung-rr39c7aj5b1/,Samsung,Fritstående køleskabe,Whiteaway
41,Bosch KSV36AWEP Serie 6 ,6499,hvidevarer/koeleskab/fritstaaende-koeleskab/product/bosch-ksv36awep/,Bosch,Fritstående køleskabe,Whiteaway
42,LG GLE71SWCSZ ,8999,hvidevarer/koeleskab/fritstaaende-koeleskab/product/lg-gle71swcsz/,LG,Fritstående køleskabe,Whiteaway
43,Gram 49SK4186FX ,8749,hvidevarer/koeleskab/fritstaaende-koeleskab/product/gram-49sk4186fx/,Gram,Fritstående køleskabe,Whiteaway
44,Gram 49SK4186FB ,8499,hvidevarer/koeleskab/fritstaaende-koeleskab/product/gram-49sk4186fb/,Gram,Fritstående køleskabe,Whiteaway
45,Liebherr SRBSFE5220 ,11002,hvidevarer/koeleskab/fritstaaende-koeleskab/product/liebherr-srbsfe5220/,Liebherr,Fritstående køleskabe,Whiteaway
46,Miele KS4383EDWS ,7079,hvidevarer/koeleskab/fritstaaende-koeleskab/product/miele-ks4383edws/,Miele,Fritstående køleskabe,Whiteaway
47,Liebherr RF4200 ,9999,hvidevarer/koeleskab/fritstaaende-koeleskab/product/liebherr-rf4200-20001/,Liebherr,Fritstående køleskabe,Whiteaway
48,Liebherr TP 1720-22 001 ,4427,hvidevarer/koeleskab/fritstaaende-koeleskab/product/liebherr-tp-1720-22-001/,Liebherr,Fritstående køleskabe,Whiteaway
49,Liebherr TP 1410-22 057 ,3299,hvidevarer/koeleskab/fritstaaende-koeleskab/product/liebherr-tp-1410-22-057/,Liebherr,Fritstående køleskabe,Whiteaway
